number,value,datetime_start,datetime_complete,duration,params_batch_size,params_fusion_dropout,params_fusion_x1,params_fusion_x2,params_fusion_x3,params_ground_activation,params_ground_graph_layers,params_ground_hidden_size,params_ground_time_layers,params_huber_delta,params_lr,params_lr_factor,params_lr_patience,params_max_grad_norm,params_sat_conv1_channels,params_sat_conv2_channels,params_sat_feature_dim,params_sat_head_hidden_dim,params_sat_temporal_layers,params_weight_decay,state
0,0.02495509724914497,2026-02-03 12:10:20.751750,2026-02-03 12:10:54.302748,0 days 00:00:33.550998,32,0.14881529393791154,128,16,16,selu,3,64,1,0.39638958863878504,0.0001329291894316216,0.5404460046972835,9,0.7613762547568976,64,32,128,64,1,0.0007114476009343421,COMPLETE
1,0.023518357445525388,2026-02-03 12:16:02.152104,2026-02-03 12:49:45.112180,0 days 00:33:42.960076,32,0.14881529393791154,128,16,16,selu,3,64,1,0.39638958863878504,0.0001329291894316216,0.5404460046972835,9,0.7613762547568976,64,32,128,64,1,0.0007114476009343421,COMPLETE
2,0.022105834677190735,2026-02-03 12:49:45.189462,2026-02-03 13:08:15.747068,0 days 00:18:30.557606,32,0.3493192507310232,64,32,32,relu,3,16,2,0.6922510445698808,0.0003058656666978527,0.3739417822102108,7,2.8403060953001487,64,64,64,16,3,1.2681352169084602e-06,COMPLETE
3,0.02290738574188479,2026-02-03 13:08:15.763471,2026-02-03 13:33:08.024201,0 days 00:24:52.260730,128,0.22720138998874556,128,64,32,relu,3,32,1,1.3113591955749049,9.833181933644887e-05,0.3478376983753207,6,4.49245734159347,16,32,64,64,2,1.5512259126484753e-06,COMPLETE
4,0.01985172811906463,2026-02-03 13:33:08.035491,2026-02-03 14:02:11.953402,0 days 00:29:03.917911,128,0.3143098736299034,32,16,32,gelu,1,64,2,0.11320904800926235,2.1387290754148914e-05,0.3888431241882921,6,2.798362861599046,32,128,64,64,1,4.828424974818325e-06,COMPLETE
5,0.03588913374466779,2026-02-03 14:02:11.972534,2026-02-03 14:11:38.863021,0 days 00:09:26.890487,32,0.342571623863836,128,16,32,relu,3,32,1,1.2226965920576593,1.865818136012483e-05,0.5048372233197124,3,3.549039628290271,16,128,32,16,2,0.0003205586399070753,PRUNED
6,0.04299377331401044,2026-02-03 14:11:38.872210,2026-02-03 14:21:32.561812,0 days 00:09:53.689602,32,0.4713274250350902,128,64,8,relu,3,16,2,1.1425941997965137,1.0655924993232572e-05,0.3897077237842239,8,3.6135283896171195,32,32,32,64,3,2.015647705936503e-06,PRUNED
7,0.03939038135446596,2026-02-03 14:21:32.572960,2026-02-03 14:44:24.201367,0 days 00:22:51.628407,32,0.2862392072529841,128,16,16,elu,2,32,1,0.831685684343658,0.00019255395572015605,0.367797098674437,5,4.330115021825856,64,128,32,64,3,0.0007942632291801132,PRUNED
8,0.022863050799137877,2026-02-03 14:44:24.222899,2026-02-03 15:02:48.269280,0 days 00:18:24.046381,32,0.34468829849374094,128,16,8,selu,1,16,1,1.6629410652533505,0.00042455494542549023,0.5088973040219217,4,2.120857886350683,32,64,32,16,3,7.2380862911813994e-06,COMPLETE
9,0.018710836184603924,2026-02-03 15:02:48.282423,2026-02-03 15:36:50.342422,0 days 00:34:02.059999,64,0.1783164539157186,128,64,16,selu,2,16,1,0.3205380169631408,0.0001814680561952158,0.6421842336044028,3,0.7070118890978874,32,128,32,64,2,5.535960319083608e-06,COMPLETE
10,0.020924598498673317,2026-02-03 15:36:50.373367,2026-02-03 15:52:59.953343,0 days 00:16:09.579976,64,0.1030953263112157,64,64,16,gelu,2,16,2,1.871351649632396,0.005407610843798239,0.6888151967564593,3,1.72709094740488,32,128,32,32,2,4.748459024928747e-05,COMPLETE
11,0.012079738586714118,2026-02-03 15:52:59.972526,2026-02-03 16:19:41.420439,0 days 00:26:41.447913,64,0.24429680848431662,32,32,32,gelu,1,64,2,0.14635338187837757,0.0017858555988024014,0.6361831800450132,5,2.064350437234622,32,128,64,32,1,1.1081049426847495e-05,COMPLETE
12,0.01608330353445685,2026-02-03 16:19:41.449319,2026-02-03 16:54:36.297767,0 days 00:34:54.848448,64,0.22491190069441996,32,32,32,gelu,1,64,2,0.2301080823411834,0.0018104518926397055,0.6664411141259903,4,1.7655766774809882,32,128,64,32,1,2.233627398384351e-05,COMPLETE
13,0.010161502216844621,2026-02-03 16:54:36.334196,2026-02-03 17:20:07.003689,0 days 00:25:30.669493,64,0.23274906519027436,32,32,32,gelu,1,64,2,0.10973143734593227,0.0027579355901945434,0.6073802313745409,5,1.6983005061221763,32,128,64,32,1,3.477187173124178e-05,COMPLETE
14,0.021890672561723116,2026-02-03 17:20:07.179962,2026-02-03 17:39:40.373718,0 days 00:19:33.193756,64,0.256643267956039,32,32,32,gelu,1,64,2,0.5941253418883848,0.0016889614103897065,0.6047039633931631,5,1.4379570770129122,32,128,64,32,1,6.289394772237449e-05,PRUNED
15,0.022330281484477747,2026-02-03 17:39:40.389774,2026-02-03 17:57:25.905300,0 days 00:17:45.515526,64,0.40910984222071867,32,32,32,gelu,1,64,2,0.9169516619410752,0.008023747151554371,0.5992881972766134,7,2.330154060418425,32,128,64,32,1,1.923272025989236e-05,PRUNED
16,0.0112689933190879,2026-02-03 17:57:25.917576,2026-02-03 18:25:39.933337,0 days 00:28:14.015761,64,0.1984742710986251,32,32,32,elu,1,64,2,0.10429120680745643,0.0016915956383942673,0.45279984471625956,5,1.205785296836125,16,64,64,32,1,0.00010987407279236105,COMPLETE
17,0.02545819326200486,2026-02-03 18:25:39.969528,2026-02-03 18:37:21.875036,0 days 00:11:41.905508,64,0.18877806805897596,32,32,8,elu,2,64,2,0.5930693459238865,0.001043527793063354,0.4550068790977359,10,1.437852805417214,16,64,64,32,2,0.00019874903366231574,PRUNED
18,0.024430926412213734,2026-02-03 18:37:21.898195,2026-02-03 18:52:07.464649,0 days 00:14:45.566454,64,0.1064990830564097,32,32,32,elu,2,64,2,0.49153817656036736,0.0038720758824045106,0.4478012563909946,4,1.1008901347298508,16,64,128,32,1,0.00010232745269916042,PRUNED
19,0.02960166788496277,2026-02-03 18:52:07.477304,2026-02-03 19:03:07.959315,0 days 00:11:00.482011,128,0.1916162584581082,32,32,32,elu,1,64,2,1.378352486352557,0.0006403067271899234,0.44835336927501607,6,1.1928577651258474,16,64,64,32,2,0.00014168252173644738,PRUNED
20,0.021494493724500314,2026-02-03 19:03:07.970989,2026-02-03 19:15:55.032234,0 days 00:12:47.061245,64,0.40377123816923055,64,32,8,elu,1,32,2,0.906477509482054,0.003514169502378748,0.31275256606416835,5,3.340730578415161,16,64,64,32,1,4.09464533799091e-05,PRUNED
21,0.010257374938919914,2026-02-03 19:15:55.050546,2026-02-03 19:59:48.104613,0 days 00:43:53.054067,64,0.25665895513897136,32,32,32,gelu,1,64,2,0.10746888571152882,0.0020257292160451097,0.6236749654517821,5,2.074631275661854,32,128,64,32,1,1.3175815403206952e-05,COMPLETE
22,,2026-02-03 19:59:48.121179,,,64,0.26246934239686015,32,32,32,gelu,1,64,2,0.2693089433230514,0.0009365267612155458,0.5575609529930009,4,2.392847820440985,32,128,64,32,1,1.3167844749202878e-05,RUNNING
23,0.01134236789811686,2026-02-03 20:16:23.513655,2026-02-03 20:40:59.557155,0 days 00:24:36.043500,64,0.2924411346335269,32,32,32,gelu,1,64,2,0.10802446966234955,0.001062161797599094,0.5806758330850441,4,2.444166188452385,32,128,64,32,1,1.2880526921037163e-05,COMPLETE
24,0.018618631936120116,2026-02-03 20:40:59.578137,2026-02-03 20:50:04.186051,0 days 00:09:04.607914,64,0.26216479354930056,32,32,32,gelu,1,64,2,0.3475288868450546,0.0033426490972797247,0.6958824464294595,6,1.8283158248886506,16,64,64,32,1,7.802179619921634e-05,PRUNED
25,0.017061251990331892,2026-02-03 20:50:04.197402,2026-02-03 21:03:32.837333,0 days 00:13:28.639931,64,0.2147469439656056,32,32,32,elu,2,64,2,0.26047295287962824,0.009903112173642486,0.5575122853719238,5,1.1985764608165606,32,128,64,32,1,2.5483410255290328e-05,PRUNED
26,0.02269654567017259,2026-02-03 21:03:32.844113,2026-02-03 21:08:42.920450,0 days 00:05:10.076337,64,0.15545849361133285,32,32,32,gelu,1,64,2,0.5052383376991321,0.0008052539988536672,0.6250282373081842,7,2.46647902135331,16,64,128,32,1,0.00027076131620562934,PRUNED
27,0.016647403680786668,2026-02-03 21:08:42.925983,2026-02-03 21:17:39.364047,0 days 00:08:56.438064,128,0.2576826105931753,32,32,32,gelu,1,64,2,0.23244655918869034,0.0023571317678586882,0.4767249039065332,4,4.960747382646197,32,128,64,16,2,3.618199283625152e-05,COMPLETE
28,0.02293354267988314,2026-02-03 21:17:39.371263,2026-02-03 21:24:24.681650,0 days 00:06:45.310387,64,0.3123635069111215,64,32,32,elu,2,64,2,0.7258927286124581,0.004814170780699417,0.4244146367506416,5,3.0236678748709007,32,128,64,32,1,2.9136005016042817e-06,PRUNED
29,0.023715275039190263,2026-02-03 21:24:24.687980,2026-02-03 21:31:45.613417,0 days 00:07:20.925437,64,0.20264252969332158,32,32,32,gelu,1,32,2,1.4778069444288864,0.0004835963380156827,0.5709412722520005,6,0.5400980584272519,64,32,64,32,1,1.7029071154169334e-05,PRUNED
30,0.020309860528048458,2026-02-03 21:31:45.622645,2026-02-03 21:36:43.955916,0 days 00:04:58.333271,64,0.13141290271457853,32,64,8,selu,1,64,2,0.45224297171687344,7.295515207731378e-05,0.5316568557896324,7,1.5128434186024124,16,64,128,32,1,9.305696970760455e-06,PRUNED
31,0.01955614385956958,2026-02-03 21:36:43.961377,2026-02-03 21:44:45.973062,0 days 00:08:02.011685,128,0.1701535211824132,32,32,16,elu,2,64,2,0.25548114687994594,0.006745141401243189,0.4828436536165114,4,0.9537764424240847,64,32,64,16,2,0.0004216910458833378,PRUNED
32,0.010995525263753976,2026-02-03 21:44:45.978187,2026-02-03 22:01:58.818229,0 days 00:17:12.840042,64,0.29096319945879384,32,32,32,gelu,1,64,2,0.11638179377865288,0.0011410402252779812,0.5915093425783368,4,2.4198675289698364,32,128,64,32,1,1.2967866516079684e-05,COMPLETE
33,0.011013696482721639,2026-02-03 22:01:58.831230,2026-02-03 22:16:28.000380,0 days 00:14:29.169150,64,0.276333432766647,32,32,32,gelu,1,64,2,0.10802839899149902,0.0012808119781321018,0.6583519984086768,5,2.2071317844883955,32,128,64,32,1,3.6365517104286258e-06,COMPLETE
34,0.02342805871001317,2026-02-03 22:16:28.005839,2026-02-03 22:23:10.150808,0 days 00:06:42.144969,64,0.2789792873244775,32,32,32,gelu,1,64,2,0.37679074254565,0.0012023924436951176,0.659997287491743,3,2.1755263105466245,32,128,128,32,1,2.730093085194015e-06,PRUNED
35,0.016085708316677248,2026-02-03 22:23:10.156509,2026-02-03 22:31:57.915434,0 days 00:08:47.758925,64,0.37004709498417176,64,32,32,gelu,1,64,2,0.20721276945603256,0.0026831922466369128,0.614109189951621,4,2.700918122409769,32,128,64,32,1,3.8308121253615065e-06,PRUNED
36,0.02028682588410584,2026-02-03 22:31:57.920536,2026-02-03 22:38:32.809650,0 days 00:06:34.889114,64,0.3116765773089688,32,32,32,gelu,1,64,2,0.40278423647698114,0.0006312205200792057,0.6601910108473258,8,3.0821978735410407,32,128,64,32,1,1.2919102435244355e-05,PRUNED
37,0.023736734174170243,2026-02-03 22:38:32.815352,2026-02-03 22:44:34.379624,0 days 00:06:01.564272,64,0.2718165655405259,32,16,32,gelu,1,64,1,0.6100206834149371,0.0003855742591244509,0.5848154759106158,6,1.9477253723519379,32,128,64,32,1,7.1030810821568955e-06,PRUNED
38,0.02031475501529952,2026-02-03 22:44:34.385043,2026-02-03 22:50:21.127953,0 days 00:05:46.742910,128,0.2365887189307403,32,32,32,relu,1,16,2,0.31012751795955296,0.0012241548020275593,0.5449054241488557,5,2.5949323576309613,32,128,64,16,1,1.0617506033984392e-06,PRUNED
39,0.013554855256756558,2026-02-03 22:50:21.133246,2026-02-03 23:02:33.360537,0 days 00:12:12.227291,32,0.36760632784310915,32,64,16,gelu,1,32,1,0.15511856436381866,0.00025338795910165096,0.6754241216013636,3,2.2982145622806125,64,32,64,64,2,1.918829570520862e-06,PRUNED
40,0.02053107755537865,2026-02-03 23:02:33.370451,2026-02-03 23:10:00.481319,0 days 00:07:27.110868,32,0.33494262656969953,64,16,32,gelu,2,64,2,0.44155097961052514,0.002368778438601857,0.6371725626212544,6,3.090782482128365,32,128,128,32,1,3.0843167072287695e-05,PRUNED
