number,value,datetime_start,datetime_complete,duration,params_batch_size,params_ground_activation,params_ground_graph_layers,params_ground_hidden_size,params_ground_time_layers,params_ground_time_skip_connect,params_huber_delta,params_lr,params_lr_factor,params_lr_patience,params_max_grad_norm,params_weight_decay,state
0,0.024459762567326827,2026-02-03 12:07:27.957333,2026-02-03 12:07:31.951733,0 days 00:00:03.994400,32,gelu,1,64,1,False,0.39638958863878504,0.0001329291894316216,0.5404460046972835,9,0.7613762547568976,0.0007114476009343421,COMPLETE
1,0.022415277201714892,2026-02-03 12:13:22.848389,2026-02-03 12:16:04.596467,0 days 00:02:41.748078,32,gelu,1,64,1,False,0.39638958863878504,0.0001329291894316216,0.5404460046972835,9,0.7613762547568976,0.0007114476009343421,COMPLETE
2,0.022985314852662093,2026-02-03 12:16:04.615404,2026-02-03 13:02:47.368281,0 days 00:46:42.752877,128,gelu,4,128,3,False,0.4793801861008835,2.621087878265438e-05,0.3185801650879991,7,2.814054972861252,7.523742884534855e-06,COMPLETE
3,0.024399777379293355,2026-02-03 13:02:47.402234,2026-02-03 13:08:50.610454,0 days 00:06:03.208220,64,selu,4,32,1,False,1.0881292402378404,1.2681352169084594e-05,0.6878338511058234,4,2.9601962570447586,0.0005345166110646819,COMPLETE
4,0.01745692297824417,2026-02-03 13:08:50.622274,2026-02-03 13:13:27.094070,0 days 00:04:36.471796,128,gelu,4,32,1,True,0.24164622299156457,0.00011756010900231849,0.37948627261366896,9,4.940991214702327,6.963114377829292e-06,COMPLETE
5,0.025913906245085078,2026-02-03 13:13:27.110599,2026-02-03 13:13:51.154972,0 days 00:00:24.044373,128,gelu,2,32,1,False,0.9972083578077037,8.569331925053983e-05,0.6043140194467589,8,1.0381741067223578,9.4525713910723e-06,PRUNED
6,0.024498877658392038,2026-02-03 13:13:51.163817,2026-02-03 13:14:55.093291,0 days 00:01:03.929474,32,elu,4,32,2,False,0.6505277605361592,5.59598687800608e-05,0.6232481518257668,10,1.2254957926430199,1.7027416886764403e-05,PRUNED
7,0.024066659356125227,2026-02-03 13:14:55.101281,2026-02-03 13:17:02.313027,0 days 00:02:07.211746,64,elu,4,64,3,False,0.5220048398943875,0.00284475125551182,0.6771638815650076,5,1.0393941530015727,0.00038211294416912254,PRUNED
8,0.019186639277850585,2026-02-03 13:17:02.336427,2026-02-03 13:25:41.139051,0 days 00:08:38.802624,64,selu,2,32,2,True,0.37530025697332386,0.0003221343740912344,0.39682210860460015,10,2.7025374212490334,1.4270403521460853e-06,COMPLETE
9,0.03019755987396814,2026-02-03 13:25:41.149401,2026-02-03 13:27:01.887060,0 days 00:01:20.737659,32,relu,1,32,3,True,0.5303419728760821,1.3253342600066526e-05,0.5763750952409863,4,3.403277556842524,5.924870051994317e-05,PRUNED
