number,value,datetime_start,datetime_complete,duration,params_batch_size,params_huber_delta,params_lr,params_lr_factor,params_lr_patience,params_max_grad_norm,params_sat_attn_dim,params_sat_conv1_channels,params_sat_conv2_channels,params_sat_feature_dim,params_sat_head_hidden_dim,params_sat_temporal_layers,params_sat_use_attention,params_weight_decay,state
0,,2026-02-03 11:04:20.111677,2026-02-03 11:04:20.970111,0 days 00:00:00.858434,32,0.39638958863878504,0.0001329291894316216,0.5404460046972835,9,0.7613762547568976,32,16,64,128,32,3,False,0.0007114476009343421,FAIL
1,,2026-02-03 11:05:45.607819,2026-02-03 11:05:46.331500,0 days 00:00:00.723681,32,0.39638958863878504,0.0001329291894316216,0.5404460046972835,9,0.7613762547568976,32,16,64,128,32,3,False,0.0007114476009343421,FAIL
2,,2026-02-03 11:58:23.090746,,,32,0.39638958863878504,0.0001329291894316216,0.5404460046972835,9,0.7613762547568976,32,16,64,128,32,3,False,0.0007114476009343421,RUNNING
3,0.061940568409119656,2026-02-03 12:00:30.743943,2026-02-03 12:01:12.370580,0 days 00:00:41.626637,32,0.39638958863878504,0.0001329291894316216,0.5404460046972835,9,0.7613762547568976,32,16,64,128,32,3,False,0.0007114476009343421,COMPLETE
4,0.048271560471646026,2026-02-03 12:02:46.824989,2026-02-03 12:03:26.771522,0 days 00:00:39.946533,32,0.39638958863878504,0.0001329291894316216,0.5404460046972835,9,0.7613762547568976,32,16,64,128,32,3,False,0.0007114476009343421,COMPLETE
5,0.02765568309891987,2026-02-03 12:14:53.601030,2026-02-03 12:36:02.103822,0 days 00:21:08.502792,32,0.39638958863878504,0.0001329291894316216,0.5404460046972835,9,0.7613762547568976,32,16,64,128,32,3,False,0.0007114476009343421,COMPLETE
6,0.01549756415905874,2026-02-03 12:36:02.235732,2026-02-03 12:52:47.672654,0 days 00:16:45.436922,64,0.22359802667203107,0.0003489018845491386,0.6233589392465844,10,4.7699849176399995,32,32,32,128,64,2,False,5.987474910461405e-05,COMPLETE
7,0.026842401096734192,2026-02-03 12:52:47.688993,2026-02-03 13:11:50.546895,0 days 00:19:02.857902,64,0.7181276284502022,0.0006218704727769079,0.6314950036607717,5,2.249047803602669,64,64,32,128,16,1,True,0.0005829384542994739,COMPLETE
8,0.02129082736707247,2026-02-03 13:11:50.559416,2026-02-03 13:24:09.292864,0 days 00:12:18.733448,128,1.4862517388423218,0.0007411299781083245,0.4888859700647797,10,3.369008621098459,64,16,32,128,32,2,False,9.833181933644894e-06,COMPLETE
9,0.21826805771072538,2026-02-03 13:24:09.302548,2026-02-03 13:29:06.568685,0 days 00:04:57.266137,128,1.6354287211723921,4.857295179217165e-05,0.6214688307596458,9,3.3503169042969057,64,16,128,64,16,3,True,1.7019223026554036e-06,PRUNED
10,0.16294557728806758,2026-02-03 13:29:06.578527,2026-02-03 13:38:06.642003,0 days 00:09:00.063476,128,1.9286498603900113,9.324140221663491e-05,0.4203513239267078,6,1.6330203312141387,16,64,128,128,16,2,True,3.6005750292009055e-05,PRUNED
11,0.0200347652503248,2026-02-03 13:38:06.651073,2026-02-03 13:48:38.697402,0 days 00:10:32.046329,64,0.45438516975972304,0.0007954064937683932,0.5710257447369129,7,0.6834881369964376,16,32,32,64,32,2,False,4.0487788181534125e-05,COMPLETE
12,0.029981959537009314,2026-02-03 13:48:38.706073,2026-02-03 13:55:03.672033,0 days 00:06:24.965960,64,0.7441566029925313,5.3156560571583175e-05,0.6588441039810308,8,2.071443085756974,32,32,128,32,64,1,True,1.902428324748959e-06,PRUNED
13,0.022021935093911548,2026-02-03 13:55:03.682207,2026-02-03 14:10:40.450974,0 days 00:15:36.768767,64,1.1507177434891254,0.006476858018034434,0.30623791986338245,3,4.927499401634281,32,32,32,32,64,1,False,0.00012578389235983658,COMPLETE
14,0.011054080264421536,2026-02-03 14:10:40.465608,2026-02-03 14:23:22.624525,0 days 00:12:42.158917,64,0.1166492141268956,0.0025461232235851378,0.687565569807628,7,4.613510927118863,16,32,32,64,64,2,False,4.4934781921325126e-05,COMPLETE
15,0.011162534514402892,2026-02-03 14:23:22.638715,2026-02-03 14:51:11.620372,0 days 00:27:48.981657,64,0.1046300482707661,0.0038830968389426098,0.6989123302916566,4,4.638567561167784,16,32,32,64,64,2,False,0.00012860806880992374,COMPLETE
16,0.012667178082578041,2026-02-03 14:51:11.644612,2026-02-03 15:25:30.658339,0 days 00:34:19.013727,64,0.12521774609892736,0.005172812503421137,0.6793173502683957,4,4.132707604859769,16,32,32,64,64,2,False,0.00015859761276621192,PRUNED
